gene_id,gene_name
94,ENSG00000162572.21,SCNN1D
95,ENSG00000131584.19,ACAP3
96,ENSG00000278073.1,MIR6726
97,ENSG00000169972.12,PUSL1
98,ENSG00000127054.21,INTS11
99,ENSG00000283712.1,MIR6727
100,ENSG00000240731.1,RP5-890O3.9
101,ENSG00000224051.7,CPTP
102,ENSG00000169962.5,TAS1R3
103,ENSG00000107404.20,DVL1
104,ENSG00000284372.1,MIR6808
105,ENSG00000162576.17,MXRA8
106,ENSG00000175756.13,AURKAIP1
107,ENSG00000223663.2,NDUFB4P8
108,ENSG00000221978.12,CCNL2
109,ENSG00000224870.7,MRPL20-AS1
110,ENSG00000242485.6,MRPL20
111,ENSG00000264293.2,RN7SL657P
112,ENSG00000272455.1,MRPL20-DT
113,ENSG00000235098.9,ANKRD65
114,ENSG00000225905.1,RP4-758J18.7
115,ENSG00000205116.4,TMEM88B
116,ENSG00000225285.1,LINC01770
117,ENSG00000179403.12,VWA1
118,ENSG00000215915.10,ATAD3C
119,ENSG00000160072.20,ATAD3B
120,ENSG00000284740.1,RP5-832C2.8
121,ENSG00000197785.14,ATAD3A
122,ENSG00000205090.9,TMEM240
123,ENSG00000160075.12,SSU72
124,ENSG00000215014.5,RP5-832C2.5
125,ENSG00000274481.1,RP11-345P4.11
126,ENSG00000228594.4,FNDC10
127,ENSG00000286989.1,RP11-345P4.12
128,ENSG00000272106.1,RP11-345P4.9
129,ENSG00000197530.13,MIB2
130,ENSG00000189409.14,MMP23B
131,ENSG00000248333.9,CDK11B
132,ENSG00000272004.1,RP11-345P4.10
133,ENSG00000189339.12,SLC35E2B
134,ENSG00000269737.2,RP11-345P4.6
135,ENSG00000215914.4,MMP23A
136,ENSG00000008128.23,CDK11A
137,ENSG00000268575.1,RP1-283E3.8
138,ENSG00000227775.3,RP1-283E3.4
139,ENSG00000215790.8,SLC35E2A
140,ENSG00000008130.15,NADK
141,ENSG00000078369.18,GNB1
142,ENSG00000231050.1,RP1-140A9.1
143,ENSG00000169885.10,CALML6
144,ENSG00000178821.13,TMEM52
145,ENSG00000142609.19,CFAP74
146,ENSG00000233542.2,RP11-547D24.1
147,ENSG00000187730.9,GABRD
148,ENSG00000226969.1,RP11-547D24.3
149,ENSG00000067606.17,PRKCZ
150,ENSG00000271806.1,RP5-892K4.1
151,ENSG00000182873.5,PRKCZ-AS1
152,ENSG00000162585.17,FAAP20
153,ENSG00000234396.3,RP11-181G12.4
154,ENSG00000157933.10,SKI
155,ENSG00000287356.1,RP11-181G12.8
156,ENSG00000116151.14,MORN1
157,ENSG00000272161.1,RP4-713A8.1
158,ENSG00000269896.2,RP4-740C4.5
159,ENSG00000272420.1,RP4-740C4.7
160,ENSG00000157916.20,RER1
161,ENSG00000157911.11,PEX10
